,text,position,name,last,events,dateString,collapsed,checked
0,"<p>New funding applications are referred to one of Pharmac's Funding Application Advisors (FAAs), who'll review the application to ensure they have the relevant information to undertake a preliminary analysis.&nbsp; They may seek more information if required.</p>
<p><a class=""external-link"" href=""https://www.pharmac.govt.nz/medicines/how-medicines-are-funded/new-funding-applications/"" rel=""nofollow"">https://www.pharmac.govt.nz/medicines/how-medicines-are-funded/new-funding-applications/</a></p>",0,Application Received,False,"[{'Summary': {'s': None, 'fs': None, 'change': None}, 'Published_Recommendation': {'s': None, 'fs': None, 'change': None}, 'Published_Discussion': {'s': None, 'fs': None, 'change': None}, 'Published_Application': {'s': None, 'fs': None, 'change': None}, 'PTAC_Comments': {'s': None, 'fs': None, 'change': None}, 'Outcome': {'s': None, 'fs': None, 'change': None}, 'Links': {'s': None, 'fs': None, 'change': None}, 'Formatted_Date': {'s': 'Aug 2014', 'fs': 'Aug 2014', 'change': None}, 'Event_Description': {'s': 'Application received', 'fs': 'Application received', 'change': None}, 'e': {'attributes': {'type': 'Application_Event__c', 'url': '/services/data/v65.0/sobjects/Application_Event__c/a0POZ00000RGHbg2AH'}, 'Id': 'a0POZ00000RGHbg2AH', 'Event_Date__c': '2014-08-01', 'Event_Description__c': 'Application received', 'Stage__c': 'Application Received', 'Formatted_Date__c': 'Aug 2014', 'Status_History__c': 'a132P000000AqjQQAS'}, 'change': None}]",Aug 2014,False,True
1,"<p>Pharmac is identifying and gathering information required to get clinical advice.  The <a class=""external-link"" href=""https://pharmac.govt.nz/about/expert-advice/pharmacology-and-therapeutics-advisory-committee-ptac/"" rel=""nofollow"">Pharmacology and Therapeutics Advisory Committee (PTAC)</a>  meets quarterly. There are also around 20 expert <a class=""external-link"" href=""https://pharmac.govt.nz/about/expert-advice/specialist-advisory-committees/"" rel=""nofollow"">Specialist Advisory Committees (SACs)</a>, previously expert Subcommittees, which provide clinical evaluations in specialist areas. Specialist Advisory Committees meet as required to discuss issues referred to them by PTAC or Pharmac.</p>
<p style=""height: 20px"">&nbsp;</p>
<p>In November 2021, we introduced separate terms of reference for the SACs to make clear that these committees have different, but complementary, roles, expertise and perspectives to PTAC.</p>
<p style=""height: 15px"">&nbsp;</p>
<p>PTAC and SACs may make recommendations to Pharmac that differ from each other when looking at the same evidence. Pharmac considers the recommendations provided by all our clinical advisory committees when assessing applications.</p>
<p style=""height: 20px"">&nbsp;</p>
<p><a class=""external-link"" href=""https://pharmac.govt.nz/about/expert-advice/pharmacology-and-therapeutics-advisory-committee-ptac/ptac-terms-of-reference-july-2021/"" rel=""nofollow"">PTAC</a>  and <a class=""external-link"" href=""https://pharmac.govt.nz/about/expert-advice/specialist-advisory-committees/specialist-advisory-committee-terms-of-reference//"" rel=""nofollow"">Specialist Advisory Committees</a> records of the meeting will be published on this website in accordance with the Terms of Reference.</p>",1,Seeking Clinical Advice,False,"[{'Summary': {'s': None, 'fs': None, 'change': None}, 'Published_Recommendation': {'s': None, 'fs': None, 'change': None}, 'Published_Discussion': {'s': None, 'fs': None, 'change': None}, 'Published_Application': {'s': None, 'fs': None, 'change': None}, 'PTAC_Comments': {'s': None, 'fs': None, 'change': None}, 'Outcome': {'s': None, 'fs': None, 'change': None}, 'Links': {'s': None, 'fs': None, 'change': None}, 'Formatted_Date': {'s': 'Nov 2014', 'fs': 'Nov 2014', 'change': None}, 'Event_Description': {'s': 'Clinical advice required', 'fs': 'Clinical advice required', 'change': None}, 'e': {'attributes': {'type': 'Application_Event__c', 'url': '/services/data/v65.0/sobjects/Application_Event__c/a0POZ00000RGHbh2AH'}, 'Id': 'a0POZ00000RGHbh2AH', 'Event_Date__c': '2014-11-06', 'Event_Description__c': 'Clinical advice required', 'Stage__c': 'Seeking Clinical Advice', 'Formatted_Date__c': 'Nov 2014', 'Status_History__c': 'a132P000000AqoHQAS'}, 'change': None}, {'Summary': {'s': None, 'fs': None, 'change': None}, 'Published_Recommendation': {'s': None, 'fs': None, 'change': None}, 'Published_Discussion': {'s': None, 'fs': None, 'change': None}, 'Published_Application': {'s': None, 'fs': None, 'change': None}, 'PTAC_Comments': {'s': None, 'fs': None, 'change': None}, 'Outcome': {'s': 'Decline', 'fs': 'Decline', 'change': None}, 'Links': {'s': '<a href=""https://www.pharmac.govt.nz/assets/ptac-minutes-2014-11.pdf"" target=""_blank"">PTAC minutes</a>', 'fs': '<a href=""https://www.pharmac.govt.nz/assets/ptac-minutes-2014-11.pdf"" target=""_blank"">PTAC minutes</a>', 'change': None}, 'Formatted_Date': {'s': 'Nov 2014', 'fs': 'Nov 2014', 'change': None}, 'Event_Description': {'s': 'Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 6 November 2014.', 'fs': 'Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 6 November 2014.', 'change': None}, 'e': {'attributes': {'type': 'Application_Event__c', 'url': '/services/data/v65.0/sobjects/Application_Event__c/a0POZ00000RGHbi2AH'}, 'Id': 'a0POZ00000RGHbi2AH', 'Event_Date__c': '2014-11-06', 'Event_Description__c': 'Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 6 November 2014.', 'Stage__c': 'Seeking Clinical Advice', 'Links__c': '<a href=""https://www.pharmac.govt.nz/assets/ptac-minutes-2014-11.pdf"" target=""_blank"">PTAC minutes</a>', 'Outcome__c': 'Decline', 'Formatted_Date__c': 'Nov 2014', 'Status_History__c': 'a132P000000AqoVQAS'}, 'change': None}]",Nov 2014,False,True
2,"<p>Following Clinical Advice, Pharmac staff considers the advice and the funding application under goes an assessment using our&nbsp;<a class=""external-link"" href=""https://www.pharmac.govt.nz/medicines/how-medicines-are-funded/factors-for-consideration/"" rel=""nofollow"">Factors for Consideration</a>&nbsp;framework and seeks additional information as required.</p>
<p>&nbsp;</p>
<p>Research and Economic analysis are undertaken.&nbsp; This focuses on the costs and benefits of a proposed course of action. Economics is based on three fundamental concepts that summarise the issues Pharmac faces daily:&nbsp;</p>
<ul>
<li>Scarcity &ndash; resources will always be insufficient to support all possible activities.</li>
<li>Choices &ndash; due to scarce resources, decisions must be made about how best to use them.</li>
<li>Opportunity cost &ndash; by choosing to use resources one way, we forgo other opportunities to use the same resources.</li>
</ul>
<p>&nbsp;</p>
<p>For further information on the purpose of, and techniques for, undertaking economic analysis in health care, please refer&nbsp;<a class=""external-link"" href=""https://www.pharmac.govt.nz/medicines/how-medicines-are-funded/economic-analysis/"" rel=""nofollow"">https://www.pharmac.govt.nz/medicines/how-medicines-are-funded/economic-analysis/</a></p>",2,Under Assessment,False,"[{'Summary': {'s': None, 'fs': None, 'change': None}, 'Published_Recommendation': {'s': None, 'fs': None, 'change': None}, 'Published_Discussion': {'s': None, 'fs': None, 'change': None}, 'Published_Application': {'s': None, 'fs': None, 'change': None}, 'PTAC_Comments': {'s': None, 'fs': None, 'change': None}, 'Outcome': {'s': None, 'fs': None, 'change': None}, 'Links': {'s': None, 'fs': None, 'change': None}, 'Formatted_Date': {'s': 'Nov 2014', 'fs': 'Nov 2014', 'change': None}, 'Event_Description': {'s': 'Working to compare options', 'fs': 'Working to compare options', 'change': None}, 'e': {'attributes': {'type': 'Application_Event__c', 'url': '/services/data/v65.0/sobjects/Application_Event__c/a0POZ00000RGHbj2AH'}, 'Id': 'a0POZ00000RGHbj2AH', 'Event_Date__c': '2014-11-07', 'Event_Description__c': 'Working to compare options', 'Stage__c': 'Under Assessment', 'Formatted_Date__c': 'Nov 2014', 'Status_History__c': 'a132P000000AqpUQAS'}, 'change': None}]",Nov 2014,False,True
3,"<p>Pharmac staff uses a prioritisation process to compare and rank funding options. Possible opportunities for new investment will always exceed the budget Pharmac has available; therefore, prioritisation is an intrinsic part of Pharmac’s decision-making process.</p>
<p>The relative ranking of options aims to support Pharmac&rsquo;s statutory objective &ldquo;to secure for eligible people in need of pharmaceuticals, the best health outcomes that are reasonably achievable from pharmaceutical treatment and from within the amount of funding provided&rdquo;.</p>
<p>A funding application or proposal is considered ready for prioritisation when sufficient information is available to permit it to be reviewed against Pharmac's Factors for Consideration and to inform a comparison with other possible investment decisions.</p>
<p>There is no guarantee when or if a ranked medicine will be funded.&nbsp;&nbsp;<a class=""external-link"" href=""https://www.pharmac.govt.nz/medicines/how-medicines-are-funded/prioritisation/"" rel=""nofollow"">https://www.pharmac.govt.nz/medicines/how-medicines-are-funded/prioritisation/</a></p>",3,Options Compared,False,"[{'Summary': {'s': None, 'fs': None, 'change': None}, 'Published_Recommendation': {'s': None, 'fs': None, 'change': None}, 'Published_Discussion': {'s': None, 'fs': None, 'change': None}, 'Published_Application': {'s': None, 'fs': None, 'change': None}, 'PTAC_Comments': {'s': None, 'fs': None, 'change': None}, 'Outcome': {'s': None, 'fs': None, 'change': None}, 'Links': {'s': None, 'fs': None, 'change': None}, 'Formatted_Date': {'s': 'Mar 2015', 'fs': 'Mar 2015', 'change': None}, 'Event_Description': {'s': 'The relative ranking of the pharmaceutical application has been completed.', 'fs': 'The relative ranking of the pharmaceutical application has been completed.', 'change': None}, 'e': {'attributes': {'type': 'Application_Event__c', 'url': '/services/data/v65.0/sobjects/Application_Event__c/a0POZ00000RGHbk2AH'}, 'Id': 'a0POZ00000RGHbk2AH', 'Event_Date__c': '2015-03-30', 'Event_Description__c': 'The relative ranking of the pharmaceutical application has been completed.', 'Stage__c': 'Options Compared', 'Formatted_Date__c': 'Mar 2015', 'Status_History__c': 'a132P000000AqtVQAS'}, 'change': None}]",Mar 2015,False,True
4,"<p>Pharmac is consulting on a proposal to either approve or decline the application.&nbsp;We seek the views of all people who have an interest in our proposals, or who may be affected by them, to obtain feedback on our proposed approaches.</p>
<p><a class=""external-link"" href=""https://www.pharmac.govt.nz/medicines/how-medicines-are-funded/having-your-say/"" rel=""nofollow"">https://www.pharmac.govt.nz/medicines/how-medicines-are-funded/having-your-say/</a></p>",4,Under Consultation,False,"[{'Summary': {'s': None, 'fs': None, 'change': None}, 'Published_Recommendation': {'s': None, 'fs': None, 'change': None}, 'Published_Discussion': {'s': None, 'fs': None, 'change': None}, 'Published_Application': {'s': None, 'fs': None, 'change': None}, 'PTAC_Comments': {'s': None, 'fs': None, 'change': None}, 'Outcome': {'s': None, 'fs': None, 'change': None}, 'Links': {'s': '<p><a href=""https://www.pharmac.govt.nz/news-and-resources/consultations-and-decisions/2025-08-proposal-to-decline-inactive-applications"" target=""_blank"">Consultation </a></p>', 'fs': '<p><a href=""https://www.pharmac.govt.nz/news-and-resources/consultations-and-decisions/2025-08-proposal-to-decline-inactive-applications"" target=""_blank"">Consultation </a></p>', 'change': None}, 'Formatted_Date': {'s': 'Aug 2025', 'fs': 'Aug 2025', 'change': None}, 'Event_Description': {'s': 'Public consultation for this application is active.', 'fs': 'Public consultation for this application is active.', 'change': None}, 'e': {'attributes': {'type': 'Application_Event__c', 'url': '/services/data/v65.0/sobjects/Application_Event__c/a0POZ00000RGHbl2AH'}, 'Id': 'a0POZ00000RGHbl2AH', 'Event_Date__c': '2025-08-08', 'Event_Description__c': 'Public consultation for this application is active.', 'Stage__c': 'Under Consultation', 'Links__c': '<p><a href=""https://www.pharmac.govt.nz/news-and-resources/consultations-and-decisions/2025-08-proposal-to-decline-inactive-applications"" target=""_blank"">Consultation </a></p>', 'Formatted_Date__c': 'Aug 2025', 'Status_History__c': 'a13OZ00000Qud7mYAB'}, 'change': None}]",Aug 2025,False,True
5,"<p>Following the consultation process, Pharmac staff considers the feedback and identifies any additional information required as part of a gap analysis.&nbsp; The proposal may require further clinical advice, research, and assessment.</p>",5,Reviewing Consultation Feedback,False,"[{'Summary': {'s': None, 'fs': None, 'change': None}, 'Published_Recommendation': {'s': None, 'fs': None, 'change': None}, 'Published_Discussion': {'s': None, 'fs': None, 'change': None}, 'Published_Application': {'s': None, 'fs': None, 'change': None}, 'PTAC_Comments': {'s': None, 'fs': None, 'change': None}, 'Outcome': {'s': None, 'fs': None, 'change': None}, 'Links': {'s': None, 'fs': None, 'change': None}, 'Formatted_Date': {'s': 'Oct 2025', 'fs': 'Oct 2025', 'change': None}, 'Event_Description': {'s': 'Public consultation for this application is now closed. Pharmac is reviewing consultation feedback.', 'fs': 'Public consultation for this application is now closed. Pharmac is reviewing consultation feedback.', 'change': None}, 'e': {'attributes': {'type': 'Application_Event__c', 'url': '/services/data/v65.0/sobjects/Application_Event__c/a0POZ00000RGHbm2AH'}, 'Id': 'a0POZ00000RGHbm2AH', 'Event_Date__c': '2025-10-08', 'Event_Description__c': 'Public consultation for this application is now closed. Pharmac is reviewing consultation feedback.', 'Stage__c': 'Reviewing Consultation Feedback', 'Formatted_Date__c': 'Oct 2025', 'Status_History__c': 'a13OZ00000Tc7CiYAJ'}, 'change': None}]",Oct 2025,False,True
6,"<p>We refer to our decisions about whether and how particular pharmaceuticals are publicly-funded, as &ldquo;funding decisions&rdquo;.</p>
<p>We consider and assess all funding decisions using the&nbsp;<a class=""external-link"" href=""https://www.pharmac.govt.nz/about/operating-policies-and-procedures/#factorsfc"" rel=""nofollow"">Factors for Consideration</a>. When we do so, we carefully evaluate clinical and other evidence for the benefits and suitability of a proposal, and to identify and understand the people who will be affected by it.</p>
<p>While our main task is to allocate pharmaceutical funding, we consider the benefits and costs across the whole health system now and with a long-term focus, including the effects for hospitals and primary care, and consider direct costs to patients as well as to all health sector budgets.</p>
<p>Final funding decisions are made by the Pharmac Board or delegated to senior Pharmac staff as required by the Board.</p>
<p>&nbsp;</p>",6,Decision,True,,,False,False
